nid,id,hd,cr,wc,pd,et,sn,sc,ed,pg,la,cy,lp,td,ct,rf,co,ina,ns,re,ipc,ipd,pub,an
11,Factiva-20210602-1530,"Lab-leak theory jumbles politics of the pandemic
   BY
Annie Linskey                Shane Harris                David Willman",,"1,720 words",28 May 2021,,The Washington Post,WP,FINAL,A01,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","Senate Democrats lined up alongside Sen. Josh Hawley (Mo.), one of their least-favorite Republicans, to support a measure urging the Biden administration to declassify intelligence on whether the novel coronavirus originated in a Chinese lab. A Democratic-led House subcommittee is pledging an investigation into the virus's origins, including the lab's safety record.

And President Biden, in an unusual public statement, directed U.S. intelligence agencies to ""redouble their efforts"" to determine the cause of the pandemic, suggesting that while the virus could have jumped from animals to humans, it also could have escaped from the lab.",,,,,,gcat : Political/General News | gpol : Domestic Politics | gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | gspy : Espionage | npag : Page One Stories | gcns : National/Public Security | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gspox : Infectious Diseases | ncat : Content Types,china : China | usdc : Washington DC | apacz : Asia Pacific | asiaz : Asia | bric : BRICS Countries | chinaz : Greater China | devgcoz : Emerging Market Countries | dvpcoz : Developing Economies | easiaz : Eastern Asia | namz : North America | usa : United States | uss : Southern U.S.,,National-Politics,Washington Post,Document WP00000020210528eh5s0000w
12,Factiva-20210602-1530,"This agency veteran best to run ATF, Democrats say
   BY
Paul Kane",,"1,280 words",27 May 2021,,The Washington Post,WP,FINAL,A02,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","Soon after retiring from a three-decade career in law enforcement, David Chipman used his first op-ed as a private citizen to advocate for an unusual cause: Senate confirmation of the director of the Bureau of Alcohol, Tobacco, Firearms and Explosives.

Since the Senate changed rules to require that the ATF director undergo a confirmation process, no one had been able to get through the gantlet to win a vote to fully take over the agency that regulates firearms.",,,,usscjd : United States Senate Committee on the Judiciary,,gvuph : Upper House | ggunc : Gun Control | gcat : Political/General News | gpol : Domestic Politics | gvcng : Legislative Branch | gcom : Society/Community | gpir : Politics/International Relations | gsoc : Social Issues | gvbod : Government Bodies,usa : United States | namz : North America,,National-Politics,Washington Post,Document WP00000020210527eh5r0002j
13,Factiva-20210602-1530,"Greene slammed for Holocaust remarks
   BY
Ledyard King",,478 words,26 May 2021,,USA Today,USAT,,"D.2
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"WASHINGTON –epublican congressional leaders sharply condemned Rep. Marjorie Taylor Greene on Tuesday for comparing COVID-19 safety protocols such as mask wearing and vaccinations to actions of the Nazi regime, though they have stopped short of calling for any formal discipline.

The Georgia Republican who has frequently warred with Democrats found herself at odds with GOP leaders Tuesday, including Senate Minority Leader Mitch McConnell of Kentucky and GOP House leader Kevin McCarthy of California.",,,,,,gcat : Political/General News | gpol : Domestic Politics | gimmu : Immunizations | gvio : Military Action | gcns : National/Public Security | ghea : Health | gpir : Politics/International Relations | grisk : Risk News | gtrea : Medical Treatments/Procedures,usa : United States | namz : North America,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210526eh5q0000u
14,Factiva-20210602-1530,HIGHLIGHT: New York,,"2,281 words",26 May 2021,,USA Today,USAT,,"D.5
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"Alabama Montgomery: Gov. Kay Ivey on Monday signed legislation banning so-called vaccine passports in an effort to prohibit requiring proof of a COVID-19 vaccination to enter a business, school or event.

Alaska Girdwood: The state's largest ski area ended its winter season over the weekend –he latest it has run in a decade, resort managers say. Alyeska Resort marked the close Sunday by hosting a COVID-19 vaccine clinic and offering a lift ticket as a prize for those who received a shot, Alaska's News Source reports.",,,,,i257 : Pharmaceuticals | i951 : Healthcare/Life Sciences,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | gimmu : Immunizations | coccsh : Workplace Safety/Health Issues | greg : Regional Politics | c151 : Earnings | e211 : Government Budget/Taxation | gedu : Education | gschol : Scholarships/Educational Grants | c15 : Financial Performance | c42 : Labor/Personnel | ccat : Corporate/Industrial News | e21 : Government Finance | ecat : Economic News | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gpir : Politics/International Relations | gpol : Domestic Politics | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types | nfact : Factiva Filters | nfcpin : C&E Industry News Filter,usa : United States | uss : Southern U.S. | usak : Alaska | usal : Alabama | usde : Delaware | usfl : Florida | ushi : Hawaii | usia : Iowa | usla : Louisiana | usmd : Maryland | usmn : Minnesota | usms : Mississippi | usnd : North Dakota | usny : New York State | usok : Oklahoma | namz : North America | usc : Midwest U.S. | use : Northeast U.S. | usw : Western U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210526eh5q0000t
15,Factiva-20210602-1530,"Lessons From a Man Who Pioneered Masks
   BY
By Wudan Yan",,"1,677 words",25 May 2021,,The New York Times,NYTF,Late Edition - Final,8,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"In late 1910, a deadly plague started spreading in the northeast regions of China, reaching the large city of Harbin. Tens of thousands of people coughed up blood; their skin pruned and turned purple. They all died.

This outbreak sent the Qing government into a tailspin: They didn't know what illness was causing these deaths, let alone how to control it. So they brought in one of the best trained doctors in Asia at the time, Dr. Wu Lien-Teh. After performing autopsies, Dr. Wu found Yersinia pestis, a bacterium similar to the one that had caused bubonic plague in the West. He recognized Manchuria's plague as a respiratory disease and urged everyone, especially health care professionals and law enforcement, to wear masks.",,,,,,gout : Outbreaks/Epidemics | gglobe : Global/World Issues | gsars : Novel Coronaviruses | gsci : Sciences/Humanities | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases,china : China | easiaz : Eastern Asia | chinaz : Greater China | heilon : Heilongjiang | usa : United States | apacz : Asia Pacific | asiaz : Asia | bric : BRICS Countries | devgcoz : Emerging Market Countries | dvpcoz : Developing Economies | namz : North America,,Science Desk,The New York Times Company,Document NYTF000020210525eh5p0002z
16,Factiva-20210602-1530,"Business News: Businesses Split on Mask Rules --- As guidance shifts, enforcement has become more difficult for small companies
   BY
By Julie Wernau",,804 words,25 May 2021,,The Wall Street Journal,J,,B3,English,"Copyright 2021 Dow Jones & Company, Inc. All Rights Reserved.","SANDUSKY, Ohio -- When the CDC said it was safe for fully vaccinated people to stop wearing face masks, Angela Warren quietly changed the sign at the gym she co-owns, from ""masks are mandated"" to ""masks are recommended.""

The clients at her gym look a lot like the city of Sandusky. Some can't be bothered with masks or Covid-19 at all. Many are vaccinated. Others say they never will be. ""Don't judge,"" she tells people.",,,,uscdcp : Centers for Disease Control and Prevention,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | nmajev : Major News Events | ntop : Top Wire News | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | ndj : Dow Jones Top Stories | redit : Selection of Top Stories/Trends/Analysis,usoh : Ohio | usa : United States | namz : North America | usc : Midwest U.S.,HHS | USG | NND | BAF,,"Dow Jones & Company, Inc.",Document J000000020210525eh5p0000r
17,Factiva-20210602-1530,"Restaurant workers are moving on
   BY
Eli Rosenberg",,"2,061 words",25 May 2021,,The Washington Post,WP,FINAL,A17,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","Jim Conway started working in restaurants in 1982, making $2.13 an hour, plus tips.

And though the world has changed significantly in the nearly 40 years since then, his hourly wage has not. At the Olive Garden outside of Pittsburgh where he worked when the pandemic hit last year, he was making $2.83 an hour, the minimum wage for tipped workers in Pennsylvania, plus tips.",,,,,i6611 : Full-service Restaurants | i66 : Lodgings/Restaurants/Bars | ilea : Leisure/Arts/Hospitality | i661 : Restaurants/Cafes/Fast Food Places,c42 : Labor/Personnel | cwrkpa : Workers Pay | reqlea : Suggested Reading   Leisure/Arts | reqrhr : Suggested Reading   Hotels/Restaurants/Casinos | ccat : Corporate/Industrial News | ncat : Content Types | nfact : Factiva Filters | nfcpin : C&E Industry News Filter | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usa : United States | usfl : Florida | namz : North America | uss : Southern U.S.,,National-Economy,Washington Post,Document WP00000020210525eh5p0000r
18,Factiva-20210602-1530,The News Quiz,,525 words,24 May 2021,,The New York Times,NYTF,Late Edition - Final,2,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"1. After changing its guidance recently, the Centers for Disease Control and Prevention now recommends mask-wearing in which three of the following situations:

a. In hospitals and nursing homes, regardless of your vaccination status",,,,,,gcat : Political/General News | ncolu : Columns | ncat : Content Types,usa : United States | china : China | usny : New York State | apacz : Asia Pacific | asiaz : Asia | bric : BRICS Countries | chinaz : Greater China | devgcoz : Emerging Market Countries | dvpcoz : Developing Economies | easiaz : Eastern Asia | namz : North America | use : Northeast U.S.,,Metropolitan Desk,The New York Times Company,Document NYTF000020210524eh5o0004i
19,Factiva-20210602-1530,"Vaccinate Your Teenager to Protect My 4-Year-Old
   BY
By Wajahat Ali",,"1,045 words",24 May 2021,,The New York Times,NYTF,Late Edition - Final,23,English,Copyright 2021 The New York Times Company.  All Rights Reserved.,"You and your kids could help protect my 4-year-old daughter's life.

Nusayba was found to have a rare cancer at the age of 2. Since then, she has endured multiple rounds of chemotherapy and a liver transplant. Fortunately, she has been cancer-free for over a year now. Her cheeks have filled out, her bouncy, thick curls are growing back, and we can't help indulging her love of cinnamon rolls and Dippin' Dots.",,,,dipdot : Dippin  Dots LLC | jxoxsm : Fischer Enterprises LLC,i41 : Food/Beverages | i413 : Dairy Products | i4132 : Ice Cream/Frozen Desserts | i414 : Preserved Foods | i4141 : Frozen Food | icnp : Consumer Goods | ifood : Food Products,gsars : Novel Coronaviruses | gcancr : Cancer | gparen : Parenting/Parenthood | grelad : Relationships | gimmu : Immunizations | ncolu : Columns | nedc : Commentaries/Opinions | nedi : Editorials | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | glife : Living/Lifestyle | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types | nfact : Factiva Filters | nfcpex : C&E Executive News Filter,usa : United States | namz : North America,,Editorial Desk | Op-Ed,The New York Times Company,Document NYTF000020210524eh5o00037
20,Factiva-20210602-1530,"With many vaccinated, businesses face dilemma: AROUND GEORGIA A RECAP
   BY
Helena Oliviero | helena.oliviero@ajc.com",Staff,763 words,23 May 2021,,The Atlanta Journal - Constitution,ATJC,Main,A2,English,"Copyright (c) 2021 The Atlanta Journal-Constitution, All Rights Reserved","In Georgia, the number of new coronavirus infections continues to fall. And the number of vaccinated people continues to rise —hough at a slower pace than last month.

Close to half of adults in the state have received at least one dose of a vaccine, according to the Centers for Disease Control and Prevention.",,,,uscdcp : Centers for Disease Control and Prevention,i2572 : Vaccines | i6483 : Decorating/DIY/Hardware Stores | i257 : Pharmaceuticals | i951 : Healthcare/Life Sciences | i64 : Retail/Wholesale | i648 : Household Goods/Hardware Stores | i654 : Specialty Retailing | idrugty : Specialized Drugs/Medications | iretail : Retail,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | gimmu : Immunizations | reqrhc : Suggested Reading   Healthcare | reqrph : Suggested Reading   Pharmaceuticals | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | redit : Selection of Top Stories/Trends/Analysis | reqr : Suggested Reading   Industry News,usga : Georgia (US) | atlnt : Atlanta | usa : United States | namz : North America | uss : Southern U.S.,,pagesuite,"Cox Enterprises, Inc., d/b/a The Atlanta Journal-Constitution",Document ATJC000020210523eh5n0008f
21,Factiva-20210602-1530,"The newly woke world of Williamsburg
   BY
Peter Marks",,"1,793 words",23 May 2021,,The Washington Post,WP,FINAL,E01,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","On the streets of Colonial Williamsburg - one of the world's premier living-history museums - Emily James cuts a formidable figure. Portraying Edith Cumbo, a free woman of color who walked these byways in the 18th century, James tries daily to convey to tourists the humiliations and contradictions Cumbo lived with.

""I'm restricted,"" she explains to a group of mask-wearing visitors on a walking tour one late-April morning. ""Because the laws didn't say 'free' or 'enslaved.' They said 'Negroes.' """,,,,,,ghist : History | gfrcl : Forced Labor | gcat : Political/General News | gcom : Society/Community | ghum : Human Rights/Civil Liberties | gsci : Sciences/Humanities,usa : United States | namz : North America,,Style,Washington Post,Document WP00000020210523eh5n0002t
22,Factiva-20210602-1530,"My pandemic panic attacks helped me understand people's mask anxieties
   BY
Marin Cogan",,"1,269 words",23 May 2021,,The Washington Post,WP,FINAL,B04,English,"Copyright 2021, The Washington Post Co. All Rights Reserved","A few weeks ago, I was walking with my husband in our D.C. neighborhood when a man approached from the opposite direction on a narrow sidewalk. It had been a few days since the Centers for Disease Control and Prevention announced that vaccinated people could walk outside without masks - a decision I welcomed. My two-week post-vaccination window had just ended, but I'd long felt safe outdoors, based on what I'd read about the low probability of outdoor coronavirus transmission. I'd kept wearing a mask outside as a social courtesy to my neighbors, who were still keeping them up whenever they left the house. But when the CDC changed its guidelines, I decided I'd stop wearing one while exercising outdoors.",,,,uscdcp : Centers for Disease Control and Prevention,,gcat : Political/General News | gfitn : Physical Fitness | gout : Outbreaks/Epidemics | nedc : Commentaries/Opinions | gsars : Novel Coronaviruses | gcold : Respiratory Tract Diseases | ghea : Health | glife : Living/Lifestyle | gmed : Medical Conditions | gspox : Infectious Diseases | ncat : Content Types | nfact : Factiva Filters | nfcpex : C&E Executive News Filter,usa : United States | namz : North America,,Outlook,Washington Post,Document WP00000020210523eh5n0001b
23,Factiva-20210602-1530,"Parents of kids too young to get vaccinated worry about dropping mask mandates too soon
   BY
BY MICHELE MUNZ, St. Louis Post-Dispatch",,"1,436 words",22 May 2021,,St. Louis Post-Dispatch,SLMO,Final,A1,English,"Copyright 2021, St. Louis Post-Dispatch.  All Rights Reserved.","ST. LOUIS —enny Berla has three children, 5-year-old twins and an 8-year-old. And they are really sick of nature hikes, she said.

But, after Berla, her Type 1 diabetic husband and their elderly parents were vaccinated against COVID-19, she looked forward to doing more things with her kids this summer, such as visiting museums, taking theater classes and going on float trips.",,,,,,gsars : Novel Coronaviruses | gout : Outbreaks/Epidemics | gparen : Parenting/Parenthood | glife : Living/Lifestyle | gdias : Diabetes | gimmu : Immunizations | npag : Page One Stories | gcat : Political/General News | gcold : Respiratory Tract Diseases | ghea : Health | gmed : Medical Conditions | gspox : Infectious Diseases | gtrea : Medical Treatments/Procedures | ncat : Content Types,usa : United States | usmo : Missouri | namz : North America | usc : Midwest U.S.,,local-government | vaccinations and immunizations | novel coronavirus pandemic | local-coronavirus | covid-vaccine | missouri vaccination rates | mask mandates | cdc mask recommendation | k-12 education | unvaccinated | parenting | public-health,St. Louis Post-Dispatch,Document SLMO000020210522eh5m007c1
24,Factiva-20210602-1530,"Asking about vaccinations doesn't violate HIPAA
   BY
Devon Link",,599 words,21 May 2021,,USA Today,USAT,,"D.1
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"As mask-wearing and social distancing guidelines relax for fully vaccinated people, businesses are navigating how to implement new policies in their stores. Many businesses are ending mask requirements only for fully vaccinated customers.

Vaccine opponents, including Rep. Marjorie Taylor Greene, R-Ga., are using the occasion to resurrect the false claim that the HIPAA federal privacy law protects individuals from being asked about their vaccination status.",,,,,i82 : Insurance | i82002 : Life Insurance | i8200301 : Health/Medical Insurance | i82003 : Non-life Insurance | ifinal : Financial Services,c11 : Corporate Strategy/Planning | ccat : Corporate/Industrial News | ghea : Health | gimmu : Immunizations | npag : Page One Stories | gcat : Political/General News | gtrea : Medical Treatments/Procedures | ncat : Content Types,usa : United States | namz : North America,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210521eh5l00008
25,Factiva-20210602-1530,"Pandemic comfort food splurges continue
   BY
Patricia Talorico",,807 words,21 May 2021,,USA Today,USAT,,"D.4
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"WILMINGTON, Del. –lap. Scrape. Sizzle.

The soundtrack of a busy, bustling kitchen at Goober's Diner is music to the ears of co-owner Tom Hannum.",,,,,,gfod : Food/Drink | gcat : Political/General News | glife : Living/Lifestyle,usa : United States | namz : North America,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210521eh5l0001a
26,Factiva-20210602-1530,CDC chief says mask decisions should be local,,843 words,20 May 2021,,USA Today,USAT,,"D.3
   VOL
ISSN:07347456",English,©021 USA Today.  Provided by ProQuest Information and Learning.   All Rights Reserved.,"The Centers for Disease Control and Prevention's director, Dr. Rochelle Walensky, testified before the Senate Committee on Appropriations on Wednesday, days after announcing new guidance on masks for fully vaccinated people.

Walensky was asked repeatedly about the guidance and its impact on getting Americans vaccinated. She emphasized that the country is not ""homogenous."" Given the disproportionate rates of vaccination, particularly for people of color who are more at risk, decisions about whether to remove mask mandates must be made at the local level, she said.",,,,uscdcp : Centers for Disease Control and Prevention,,ghea : Health | gcat : Political/General News,usa : United States | ustx : Texas | austin : Austin | jap : Japan | india : India | apacz : Asia Pacific | asiaz : Asia | bric : BRICS Countries | devgcoz : Emerging Market Countries | dvpcoz : Developing Economies | easiaz : Eastern Asia | indsubz : Indian Subcontinent | namz : North America | sasiaz : Southern Asia | uss : Southern U.S.,,"Newspapers | USA Today, a division of Gannett Satellite Information Network, Inc. | News",USA Today Information Network,Document USAT000020210520eh5k00009
